City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
Vila Franca do Campo,20,PT,1587116354,77,37.72,-25.43,59.0,8.05
Punta Arenas,0,CL,1587116354,75,-53.15,-70.92,42.8,10.29
Busselton,87,AU,1587116355,32,-33.65,115.33,70.0,9.42
Tiksi,59,RU,1587116355,91,71.69,128.87,-2.72,4.79
Butaritari,58,KI,1587116355,78,3.07,172.79,83.73,15.3
Tucumã,83,BR,1587116356,92,-0.18,-50.05,75.04,3.2
Sibolga,93,ID,1587116356,77,1.74,98.78,83.5,4.74
Klaksvík,90,FO,1587116357,65,62.23,-6.59,44.6,4.7
New Norfolk,40,AU,1587116357,50,-42.78,147.06,52.0,19.46
Ushuaia,20,AR,1587116357,53,-54.8,-68.3,50.0,13.87
George Town,20,MY,1587116358,74,5.41,100.34,87.8,3.36
Vaini,20,TO,1587116358,83,-21.2,-175.2,77.0,6.93
Bambous Virieux,75,MU,1587116358,74,-20.34,57.76,81.0,18.34
Punta Gorda,90,US,1587116358,88,26.93,-82.05,71.01,11.41
Hermanus,100,ZA,1587116359,65,-34.42,19.23,69.01,4.0
Castro,0,BR,1587116359,66,-24.79,-50.01,46.45,2.71
Korsakov,0,RU,1587116359,70,46.63,142.78,42.8,6.71
Arraial do Cabo,75,BR,1587116360,94,-22.97,-42.03,71.6,10.29
Rocha,0,UY,1587116360,91,-34.48,-54.33,56.88,3.04
Paris,94,FR,1587115961,59,48.85,2.35,69.8,4.7
Dunedin,100,NZ,1587116360,93,-45.87,170.5,50.0,19.51
Bluff,95,NZ,1587116361,91,-46.6,168.33,48.99,3.0
Goroka,100,PG,1587116361,57,-6.08,145.39,63.48,0.13
Kaihua,70,CN,1587116361,35,23.37,104.28,77.41,11.65
Kingman,1,US,1587116361,57,35.19,-114.05,70.0,4.7
Sørland,75,NO,1587116362,74,67.67,12.69,37.4,17.22
Saskylakh,2,RU,1587116362,91,71.92,114.08,3.56,4.16
Mahébourg,75,MU,1587116362,74,-20.41,57.7,81.0,18.34
Yellowknife,90,CA,1587116362,86,62.46,-114.35,33.8,11.41
St. George's,20,GD,1587116363,83,12.06,-61.75,78.8,9.17
Hasaki,75,JP,1587116363,71,35.73,140.83,55.4,5.82
Lebu,94,CL,1587116363,69,-37.62,-73.65,58.91,8.21
Port Elizabeth,37,ZA,1587116363,46,-33.92,25.57,71.6,6.93
Rikitea,22,PF,1587116364,72,-23.12,-134.97,76.6,9.13
Fort-Shevchenko,0,KZ,1587116364,57,44.51,50.26,52.77,16.15
Maputo,40,MZ,1587116208,65,-25.97,32.59,78.8,11.41
Carnarvon,52,AU,1587116364,55,-24.87,113.63,86.0,14.99
